x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89640.229666,43137.264409,6.30335,0,0,-0.054406,0.998519,6.19971524695615
89641.777205,43137.128608,6.30597,0,0,0.160678,0.987007,6.91067184630054
89643.318876,43137.120148,6.309546,0,0,0.160678,0.987007,6.97161557593599
89644.785461,43137.188481,6.312495,0,0,0.343524,0.939144,6.07108023416726
89646.273763,43137.413255,6.315763,0,0,0.343524,0.939144,4.98162392252844
89647.324037,43138.249113,6.320995,0,0,0.554016,0.832506,5.7332624388059
89648.019101,43139.387868,6.326446,0,0,0.554016,0.832506,6.29364828074195
89648.386574,43140.63571,6.328795,0,0,0.699456,0.714676,5.40401771895614
89648.243758,43141.89889,6.335825,0,0,0.699456,0.714676,6.06883632282865
89647.782765,43143.014572,6.341002,0,0,0.699456,0.714676,6.63880997975334
89647.139802,43143.97773,6.344383,0,0,0.855279,0.518168,7.14297451097614
89646.406496,43144.837634,6.347989,0,0,0.855279,0.518168,7.60281582616363
89645.634156,43145.726371,6.351949,0,0,0.855458,0.517873,8.05403267397054
89644.846313,43146.675289,6.353397,0,0,0.855458,0.517873,8.50103037043445
89644.028553,43147.754056,6.357212,0,0,0.855458,0.517873,8.96602709891664
89643.13749,43148.966499,6.359196,0,0,0.882001,0.471247,9.4560890987975
89642.194795,43150.375082,6.36094,0,0,0.882001,0.471247,9.97933801835094
89641.325608,43151.851786,6.361725,0,0,0.909974,0.414665,10.4818075586452
89640.425545,43153.446016,6.367438,0,0,0.931912,0.362684,10.9933093537557
89639.434722,43155.214074,6.369709,0,0,0.899436,0.437053,11
89638.551577,43156.908885,6.381604,0,0,0.899436,0.437053,11
89637.657483,43158.545394,6.409334,0,0,0.904818,0.425798,11
89636.715352,43160.215088,6.44682,0,0,0.904818,0.425798,11
89635.703722,43162.015602,6.490724,0,0,0.909045,0.416698,11
89634.694926,43163.664263,6.519167,0,0,0.911257,0.411839,11
89633.820908,43165.271961,6.553267,0,0,0.911257,0.411839,11
89632.876955,43166.862958,6.575844,0,0,0.906128,0.423003,10.7525041798506
89631.963504,43168.434718,6.611715,0,0,0.896159,0.443734,10.0535073541458
89631.073304,43169.889808,6.637129,0,0,0.896159,0.443734,9.35022113063432
89630.005584,43171.118179,6.655321,0,0,0.910751,0.412956,8.62590456216778
89628.873731,43172.273244,6.660895,0,0,0.910751,0.412956,7.84020416506777
89627.710329,43173.422256,6.666238,0,0,0.926643,0.375943,6.95611666879282
89626.483482,43174.355054,6.668313,0,0,0.926643,0.375943,6.00483484908737
89625.060257,43174.750657,6.660639,0,0,0.941253,0.337701,6.70232367535075
89623.562637,43174.718338,6.635189,0,0,0.941253,0.337701,6.61859509652053
89622.024093,43174.835972,6.612979,0,0,0.941253,0.337701,5.60905742829885
89620.822262,43175.485549,6.59206,0,0,0.845594,0.533826,5.61609029164128
89619.963274,43176.539332,6.577548,0,0,0.845594,0.533826,6.07235775428253
89619.498186,43177.806692,6.57509,0,0,0.678018,0.735046,6.70623194921872
89619.184587,43179.11229,6.584212,0,0,0.678018,0.735046,6.8803261824298
89619.009771,43180.40073,6.590395,0,0,0.678018,0.735046,6.07757555791187
89618.908289,43181.606406,6.594734,0,0,0.563098,0.82639,5.22086294778928
89619.300477,43182.779146,6.604168,0,0,0.563098,0.82639,5.88870877048044
89619.979241,43183.832224,6.614973,0,0,0.563098,0.82639,6.49570137682404
89620.757018,43184.658766,6.628518,0,0,0.328683,0.94444,7.00027349990692
89621.519138,43185.435375,6.641527,0,0,0.328683,0.94444,7.45200595436368
89622.293057,43186.101059,6.655326,0,0,0.328683,0.94444,7.85221936723244
89623.09183,43186.699739,6.677467,0,0,0.129383,0.991595,8.22476186272419
89623.782281,43187.233237,6.701409,0,0,0.129383,0.991595,8.53709581399444
89624.520466,43187.744177,6.712712,0,0,0.129383,0.991595,8.6348860081687
89625.194735,43188.123201,6.730274,0,0,0.129383,0.991595,8.26881363851859
89625.868182,43188.456588,6.745544,0,0,-0.073857,0.997269,7.89694089649791
89626.553036,43188.716842,6.755421,0,0,-0.073857,0.997269,7.51668667588469
89627.228704,43188.888805,6.762847,0,0,-0.073857,0.997269,7.45198034602763
89627.921342,43189.06367,6.770282,0,0,-0.073857,0.997269,7.05811924834784
89628.584311,43189.166343,6.776612,0,0,-0.257591,0.966254,6.667088490632
89629.280918,43189.176855,6.779317,0,0,-0.257591,0.966254,6.49788932078902
89629.945237,43189.089529,6.781496,0,0,-0.257591,0.966254,6.80020364681403
