x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89627.397205,43133.109887,6.229057,0,0,0.887679,0.460463,11
89626.981776,43133.779822,6.229426,0,0,0.887679,0.460463,11
89626.56822,43134.416446,6.228776,0,0,0.886576,0.462583,11
89626.141499,43135.091068,6.227729,0,0,0.886576,0.462583,11
89625.686186,43135.870539,6.227676,0,0,0.886576,0.462583,11
89625.2502,43136.545114,6.227528,0,0,0.886618,0.462503,11
89624.787537,43137.281991,6.227025,0,0,0.886618,0.462503,11
89624.362119,43138.086489,6.227576,0,0,0.886618,0.462503,11
89623.946079,43138.820864,6.228605,0,0,0.886618,0.462503,11
89623.470385,43139.579395,6.228282,0,0,0.886023,0.463642,11
89622.986381,43140.348334,6.228027,0,0,0.886023,0.463642,11
89622.480201,43141.095598,6.227027,0,0,0.886023,0.463642,11
89621.938572,43141.92039,6.225436,0,0,0.88584,0.46399,11
89621.429014,43142.704456,6.222481,0,0,0.88584,0.46399,11
89620.847504,43143.528976,6.221391,0,0,0.88584,0.46399,11
89620.279434,43144.324348,6.221267,0,0,0.884065,0.467363,11
89619.748819,43145.175523,6.223559,0,0,0.884065,0.467363,11
89619.200781,43145.998729,6.227233,0,0,0.884065,0.467363,11
89618.65349,43146.766678,6.230378,0,0,0.881734,0.471747,11
89618.097253,43147.57263,6.232002,0,0,0.881734,0.471747,11
89617.552914,43148.398368,6.233117,0,0,0.881734,0.471747,11
89617.07482,43149.237764,6.234682,0,0,0.874733,0.484605,11
89616.468005,43150.026541,6.235348,0,0,0.874733,0.484605,11
89615.963278,43150.824859,6.235768,0,0,0.874733,0.484605,11
89615.39513,43151.627271,6.235927,0,0,0.852035,0.523484,11
89614.848629,43152.439124,6.236044,0,0,0.852035,0.523484,11
89614.325706,43153.184146,6.236561,0,0,0.852035,0.523484,11
89613.793288,43153.95805,6.236857,0,0,0.798825,0.601564,11
89613.368067,43154.738338,6.237911,0,0,0.798825,0.601564,11
89612.946789,43155.529295,6.238805,0,0,0.798825,0.601564,11
