x,y,z,x_quat,y_quat,z_quat,w_quat,
89621.12014,43143.113839,6.221314,0,0,0.88584,0.46399,11
89620.469763,43144.153838,6.220703,0,0,0.884065,0.467363,11
89619.753652,43145.255337,6.2255,0,0,0.884065,0.467363,11
89619.054607,43146.288902,6.230629,0,0,0.884065,0.467363,11
89618.397703,43147.311983,6.232522,0,0,0.881734,0.471747,11
89617.732588,43148.399354,6.234074,0,0,0.881734,0.471747,11
89617.08888,43149.406386,6.235559,0,0,0.874733,0.484605,11
89616.443972,43150.416937,6.235901,0,0,0.874733,0.484605,11
89615.831259,43151.355566,6.236293,0,0,0.874733,0.484605,11
89615.19799,43152.277039,6.236632,0,0,0.852035,0.523484,11
89614.73046,43153.315805,6.237385,0,0,0.852035,0.523484,11
89614.346019,43154.297388,6.23951,0,0,0.798825,0.601564,11
