s_m,x,y,z,x_quat,y_quat,z_quat,w_quat,target_velocity,heading_rad,curvature_1pm,turn_radius_m,v_limit_mps,v_kappa_mps,v_ref_mps,v_ref_kmh,t_ref_s
105.4557641737339,89641.373744,43153.256615,0,0,0,0.909974102357047,0.414665085387577,10.271,2.2084325993616156,-0.008392588543211978,119.15274945878426,10.0,,10.0,36.0,10.732140605221803
109.44093975870537,89639.058202,43156.571275,0,0,0,0.931912011641939,0.36268443936496,10.271,2.175788787327425,-0.004287595764977595,233.23094219103126,10.0,,10.0,36.0,11.136475932263265
113.78604598305873,89636.61658,43160.1426,0,0,0,0.899435514472461,0.437053492499098,10.271,2.1751368376068454,-1.339563805705246e-05,74651.16597962467,10.0,,10.0,36.0,11.569094473780861
118.48658913302829,89633.935158,43163.984264,0,0,0,0.904818453502284,0.425797564814238,10.271,2.1757724834798884,0.0022129620080690196,451.8830401759031,10.0,,10.0,36.0,12.037585735503251
123.55043353594799,89631.05064,43168.197879,0,0,0,0.909044983462813,0.41669799380498,10.271,2.198097620302578,0.014801834197283264,67.55919480462364,10.0,,10.0,36.0,12.54822254832138
128.79693679877195,89627.784876,43172.450282,0,0,0,0.911256662667885,0.411838918441894,10.271,2.336028414484423,0.02087832734729825,47.896557198553765,10.0,,10.0,36.0,13.084395522072088
133.97417099556765,89623.773308,43175.797158,0,0,0,0.906128212474729,0.423003147219205,10.271,2.4165350164864186,-0.03782246666621639,26.439312084666742,10.0,,10.0,36.0,13.606834578594812
138.6950535009385,89620.142871,43179.186542,0,0,0,0.896158740162825,0.443733605251821,10.271,1.9678254508994464,-0.14125751444795479,7.079269403175306,10.0,,10.0,36.0,14.10350344927664
142.7619930106662,89619.932225,43183.599312,0,0,0,0.910750913033808,0.412956141022367,10.271,1.0976626466804693,-0.18825241284211985,5.312016908057704,10.0,,10.0,36.0,14.545282928317688
146.720735682991,89623.489834,43185.977946,0,0,0,0.926642990166551,0.375942507273642,10.271,0.49614625553054476,-0.07961563747242555,12.560346581993326,10.0,,10.0,36.0,14.973237149034274
150.69023131379186,89627.20048,43187.531221,0,0,0,0.941253485813917,0.337700866808408,11.0,0.34763378076112356,-0.07442600201028456,13.436164418207161,10.0,,10.0,36.0,15.375500209268228
154.18870017812924,89630.633672,43188.613107,0,0,0,0.845594057206342,0.533826460956478,11.0,-0.06934741784679653,-0.1563923324071546,6.3941753704176625,10.0,,10.0,36.0,15.73546249376256
157.30680103510863,89633.57769,43187.359768,0,0,0,0.678017572458078,0.735045693435486,11.0,-0.6258086893588292,-0.12530765106197864,7.980358673433183,10.0,,10.0,36.0,16.055432814781366
160.27504922472355,89635.610541,43185.098271,0,0,0,0.56309821114522,0.826389983364424,11.0,-0.8895922681329163,-0.007308059914396979,136.83522189384166,10.0,,10.0,36.0,16.359519181940314
162.9689209800109,89637.238781,43182.88696,0,0,0,0.328682958251004,0.944440317307223,11.0,-0.711420600651183,0.13462343599972343,7.428127150179516,10.0,,10.0,36.0,16.634129120512963
165.30592850968372,89639.293655,43181.723582,0,0,0,0.129382570073021,0.991594751176759,11.0,-0.2342927978554861,0.18650248032515965,5.361858985770805,10.0,,10.0,36.0,16.87026373311362
167.4838634529766,89641.451698,43181.792947,0,0,0,-0.0738566810990155,0.997268865781459,11.0,0.11051941477455161,0.09592974857678685,10.42429501625923,10.0,,10.0,36.0,17.086179482726468
169.73797873890175,89643.624809,43182.216326,0,0,0,-0.257590954040813,0.966254055824007,11.0,0.18693071651955562,0.01998248511518891,50.043825592037535,10.0,,10.0,36.0,17.307576438350214
172.0959366326925,89646.028144,43182.657366,0,0,0,-0.307612637606732,0.951511673698557,11.0,0.20252110698864048,0.02053796191227268,48.69032303553154,10.0,,10.0,36.0,17.551923228871413
174.41762575705621,89648.30201,43183.175123,0,0,0,-0.285238674580209,0.958456518848782,11.0,0.28730852767377624,0.040035481626255205,24.97784363718511,10.0,,10.0,36.0,17.785129980425072
176.68589308732118,89650.357379,43183.929574,0,0,0,-0.163097074817725,0.986610026396398,10.271,0.38155873439674104,0.023245459637048018,43.0191536589892,10.0,,10.0,36.0,18.00407604770054
179.13928907960187,89652.530665,43184.883677,0,0,0,-0.0102366879383776,0.999947603737342,10.271,0.3841037435200501,-0.033200492825112365,30.12003482200164,10.0,,10.0,36.0,18.241425675305443
181.8906077757811,89655.234186,43185.881174,0,0,0,0.0930897129331241,0.995657724996913,10.271,0.18989468932536294,-0.10088649367622131,9.912129597935442,10.0,,10.0,36.0,18.52959274598623
184.72746975549452,89658.185245,43185.940371,0,0,0,0.178075061283055,0.984016906637806,10.271,-0.23219127555877406,-0.1656575325611989,6.036550131703609,10.0,,10.0,36.0,18.824758013358323
187.4800405744009,89660.688785,43184.635718,0,0,0,0.241110878816529,0.970497575533459,10.271,-0.7597068334650846,-0.18900416546894433,5.290888682367755,10.0,,10.0,36.0,19.10706692186163
190.15174965356002,89662.142439,43182.2436,0,0,0,0.23397509288614,0.97224259107947,10.271,-1.2987301096810768,-0.1910616489936095,5.233912746317014,10.0,,10.0,36.0,19.38698366801329
192.70464956615905,89662.168692,43179.576178,0,0,0,0.197507792253709,0.980301316942431,10.271,-1.8292190220390894,-0.18499071327378627,5.405676762378876,10.0,,10.0,36.0,19.65373878691611
195.11781421944664,89660.952907,43177.448888,0,0,0,0.0563639652051718,0.998410288121246,10.271,-2.241276996248403,-0.14574999195444116,6.861063843575251,10.0,,10.0,36.0,19.898759110774368
197.40254722900562,89659.270533,43175.860104,0,0,0,-0.145469166069609,0.989362785697447,10.271,-2.5388842602780874,-0.10925360580789531,9.153015981535084,10.0,,10.0,36.0,20.130159561822293
199.51307679546437,89657.336257,43174.896963,0,0,0,-0.422610348513575,0.906311476993001,10.271,-2.741466228636092,-0.06000209939592585,16.666083521535917,10.0,,10.0,36.0,20.34623973745294
201.44603462747943,89655.580395,43174.276007,0,0,0,-0.614219547242268,0.789135189803055,10.271,-2.791632220340976,-0.016956798942578837,58.97339488345182,10.0,,10.0,36.0,20.532482528373762
203.3982624415009,89653.845577,43173.622523,0,0,0,-0.723010137191984,0.690837420467094,10.271,-2.801863634505539,-0.00021029260529383561,4755.278953355158,10.0,,10.0,36.0,20.717864157220127
205.52711215413473,89651.719072,43172.918922,0,0,0,-0.883558475019075,0.468320852858344,10.271,-2.7914160592907313,0.031480139233079685,31.766060264091486,10.0,,10.0,36.0,20.941852502501693
207.7178888033081,89649.692823,43172.101506,0,0,0,-0.980174738905994,0.198135007534171,10.271,-2.656183955062369,0.10312148402581357,9.697300319588866,10.0,,10.0,36.0,21.160344010965137
209.83650649192774,89647.873207,43170.9065,0,0,0,-0.997178121084941,0.0750719310362241,10.271,-2.3382982568360893,0.1821492146695703,5.4900044549413,10.0,,10.0,36.0,21.378037412967245
211.92196633421503,89646.811786,43169.136917,0,0,0,-0.997253919602884,0.0740582192378701,10.271,-1.8984567668771584,0.2127983566119906,4.699284411408151,10.0,,10.0,36.0,21.5843875652107
