s_m,x,y,z,x_quat,y_quat,z_quat,w_quat,speed,heading_rad,curvature_1pm,turn_radius_m,v_limit_mps,v_kappa_mps,v_ref_mps,v_ref_kmh,t_ref_s
66.59600733478982,89621.4806511,43142.8958758,0.0,0.0,0.0,0.8858404744325861,0.4639899286159677,8.333333333333334,2.1769975127488905,-0.0009856463698810947,1014.5626571126487,10.0,50.362750548213924,9.853711488301215,35.47336135788438,9.44872008866208
69.5802040781568,89619.7813115,43145.3490954,0.0,0.0,0.0,0.8840654740746551,0.4673630682340607,8.333333333333334,2.1727924461003503,-0.0021754208998072426,459.68115875351157,10.0,33.89989523411214,9.940931203758232,35.78735233352964,9.750246032561362
72.56379160128196,89618.100974,43147.8148295,0.0,0.0,0.0,0.8817338975541988,0.4717471079973692,8.333333333333334,2.164014983274555,-0.004758366079779864,210.15617193670457,10.0,22.92139676899646,9.159849789389263,32.975459241801346,10.06267859830895
75.54619718893903,89616.4459781,43150.2959718,0.0,0.0,0.0,0.8747329353994254,0.4846052947786523,8.333333333333334,2.1444049809278005,-0.013321217855084977,75.06821154630993,10.0,13.699289356232127,8.306054360260122,29.90179569693644,10.404196769960608
78.5272113458152,89614.8648117,43152.8237383,0.0,0.0,0.0,0.8520352631869781,0.5234843935456882,8.333333333333334,2.0846142910154954,-0.03339387832086384,29.9456083055564,10.0,8.652399711287673,7.354097286049922,26.47475022977972,10.784979599644688
81.50135709447933,89613.5157321,43155.4866665,0.0,0.0,0.0,0.7988249148909662,0.6015635921076347,8.333333333333334,1.9448910484215212,-0.06384566168176231,15.66277134043162,10.0,6.2575497082387646,6.2575497082387646,22.527178949659554,11.22359863076915
84.46193977585295,89612.6932589,43158.3481709,0.0,0.0,0.0,0.7028539955455397,0.7113341415577284,8.333333333333334,1.703482367930609,-0.09443666067539033,10.589108010048415,10.0,5.145169581765118,5.145169581765118,18.522610494354424,11.745817835661056
87.40474250733166,89612.7291468,43161.3404789,0.0,0.0,0.0,0.5688843952383383,0.8224175003332006,8.333333333333334,1.3817133788366245,-0.12520077494293969,7.987171009570432,10.0,4.468548704437055,4.468548704437055,16.086775335973396,12.36837054874539
90.285902987029,89613.7741219,43164.1124982,0.0,0.0,0.0,0.332024351633184,0.943270814730618,8.333333333333334,0.9423381208446259,-0.16407671496621937,6.094710027598268,10.0,3.903431191784437,3.903431191784437,14.052352290423974,13.076074643966948
93.12578508824944,89616.038489,43165.9320151,0.0,0.0,0.0,0.0957611796389797,0.9954043381833088,8.333333333333334,0.43235540004342166,-0.16867050640027245,5.928718786359111,10.0,3.8499086957871844,3.8499086957871844,13.859671304833864,13.825383622095005
95.97262157560662,89618.9507637,43166.4975904,0.0,0.0,0.0,-0.1714659858086165,0.985190040403718,8.333333333333334,-0.07213842343948654,-0.16713538315262202,5.983173527575762,10.0,3.8675488127416573,3.8675488127416573,13.923175725869967,14.59420804530715
98.84704237832206,89621.7102618,43165.5070397,0.0,0.0,0.0,-0.3722981364651079,0.928113192226362,8.333333333333334,-0.551447970134109,-0.1273879926500676,7.850033423063516,10.0,4.430020717520268,4.430020717520268,15.948074583072964,15.30089620583833
101.79076894342344,89623.8840814,43163.4286152,0.0,0.0,0.0,-0.4334716146163332,0.9011672205101054,8.333333333333334,-0.8287407100659491,-0.07081187823105524,14.121924527083653,10.0,5.941785196193912,5.352356967303325,19.26848508229197,15.915787039027034
104.76419854460902,89625.7384085,43161.107721,0.0,0.0,0.0,-0.5077202816800768,0.8615219762552221,8.333333333333334,-0.9810343567923882,-0.04559180819609464,21.933764848696203,10.0,7.405026139166593,6.128607949744716,22.06298861908098,16.43328769398796
107.73636901908688,89627.1816511,43158.5014474,0.0,0.0,0.0,-0.5357086988320535,0.8444028600115399,8.333333333333334,-1.0978004353357338,-0.029386095060531834,34.029700031260354,10.0,9.223570354160632,6.818902011862685,24.548047242705664,16.89348373539994
110.71839712205932,89628.4528769,43155.8019154,0.0,0.0,0.0,-0.5575441010496636,0.8301473214946384,8.333333333333334,-1.1567600603825254,-0.01661389358421555,60.19058656726172,10.0,12.266884951696348,7.4464111226160155,26.807080041417656,17.311823142568826
113.70297781004622,89629.5826044,43153.0374306,0.0,0.0,0.0,-0.569086621168504,0.8222775794140417,8.333333333333334,-1.1968698369750257,0.010320271709902075,96.89667366417513,10.0,15.564115270725729,8.025476715786183,28.89171617683026,17.69786687134894
116.67565636332398,89630.6338945,43150.2444985,0.0,0.0,0.0,-0.4771213576660648,0.878837419582764,8.333333333333334,-1.097589326021828,0.018816664120301887,53.14438274534904,10.0,11.52653273380042,8.565103186830976,30.834371472591513,18.057617852045468
119.50329035265463,89632.2522925146,43147.75284844299,0.0,0.0,0.0,-0.551099706575186,0.8344394006833233,8.333333333333334,-1.0787178779564215,-0.006318944503970648,158.25427796867467,10.0,19.890593126442628,8.693806083959782,31.297701902255216,18.40191728204048
122.13532930282965,89633.20967857075,43145.509917684125,0.0,0.0,0.0,-0.5186828293851513,0.8549667376576787,8.333333333333334,-1.128986363042843,0.002768170541328246,361.2494190911272,10.0,30.052014037794837,7.961701686056005,28.662126069801616,18.69475904120199
124.90613824639452,89634.45844299185,43143.11230204535,0.0,0.0,0.0,-0.4933401137192882,0.8698364973921476,8.333333333333334,-1.0612810088672273,0.04053125998743644,24.672314660584746,10.0,7.85371164809747,7.062015435403592,25.42325556745293,19.054633541462955
127.94624068018159,89636.12346221996,43140.32797420675,0.0,0.0,0.0,-0.3526139839977672,0.9357688701219028,8.333333333333334,-0.8762853364060994,0.07429175302000722,13.460444253222748,10.0,5.800957734120882,5.800957734120882,20.883447842835174,19.55905662197604
130.8925114274798,89638.4128636586,43138.31707076777,0.0,0.0,0.0,-0.2323697842465912,0.9726275152231674,8.333333333333334,-0.5874224672093853,0.1057124852994838,9.459620565792177,10.0,4.863029036976896,4.863029036976896,17.506904533116828,20.130539856342956
133.44160186458222,89640.70226509725,43137.15693416836,0.0,0.0,0.0,-0.0544057429275845,0.998518910755574,8.333333333333334,-0.28003956124032614,0.1544398314202422,6.475013542840034,10.0,4.023373442411241,4.023373442411241,14.484144392680468,20.70817943496962
135.65570815105755,89642.82516461308,43136.92490684848,0.0,0.0,0.0,0.1606780377913518,0.9870068734165536,8.333333333333334,0.11283985660593086,0.1884705974325804,5.305867406494105,10.0,3.642069262965116,3.642069262965116,13.111449346674418,21.265366264502354
137.84065167614463,89644.90643864822,43137.62098880812,0.0,0.0,0.0,0.3435240687012761,0.9391438730156956,8.333333333333334,0.5140046582652591,0.15892684216488437,6.2922032954163525,10.0,3.9661704752242914,3.9661704752242914,14.27821371080745,21.842264874904423
140.10104334346028,89646.73795979914,43139.16783760734,0.0,0.0,0.0,0.5540159306970269,0.832506065163436,8.333333333333334,0.8939721623177681,0.19363435801479328,5.164372739695308,10.0,3.5931785161940213,3.5931785161940213,12.935442658298477,22.47653487179323
142.74187619964545,89647.61209489389,43141.25608348628,0.0,0.0,0.0,0.699455895980281,0.71467576534987,8.333333333333334,1.378302147937267,0.14545123889187642,6.875156290304042,10.0,4.145828110976154,4.145828110976154,14.924981199514155,23.06157648132747
145.9057527150458,89647.6953458553,43145.12320548432,0.0,0.0,0.0,0.8552788908611095,0.5181679446351253,8.333333333333334,1.7653285158546104,0.09488512773949165,10.539059427158206,10.0,5.132996061550751,5.132996061550751,18.478785821582704,23.895306689146736
149.08898500366695,89646.32170499211,43147.75284844299,0.0,0.0,0.0,0.8554577728148866,0.5178725701662464,8.333333333333334,2.0525444511522117,0.057602996057530144,17.36020812183562,10.0,6.5879071262874564,5.937007087263659,21.373225514149173,24.43131403962201
152.1672574094881,89644.86481316751,43150.53717628158,0.0,0.0,0.0,0.882001167353983,0.471247218332598,8.333333333333334,2.107611644230082,0.026985799452627215,37.05652677644295,10.0,9.625035944925473,6.683966956495718,24.062281043384587,24.929287285776716
155.14910889804096,89643.1581684587,43153.08947680029,0.0,0.0,0.0,0.9099741023570472,0.4146650853875768,8.333333333333334,2.223936414292423,0.0411697768213174,24.289662884016597,10.0,7.792570641966711,7.340734211846497,26.42664316264739,25.367132122677237
157.89974065072605,89641.4098982692,43155.10038023927,0.0,0.0,0.0,0.9319120116419388,0.3626844393649597,8.333333333333334,2.3431425886827926,0.017958544189333802,55.68380095052106,10.0,11.798707657040353,7.8663986921596845,28.319035291774863,25.717575109552694
160.6155944972241,89639.4771382,43156.8733096,0.0,0.0,0.0,0.8994355144724612,0.437053492499098,8.333333333333334,2.3179215657348684,-0.01654564824053119,60.43885289126004,10.0,12.292157346379442,8.351556215355846,30.065602375281046,26.041013458350136
163.50329227036084,89637.6355434,43159.2162561,0.0,0.0,0.0,0.904818453502284,0.4257975648142377,8.333333333333334,2.2490343349026265,-0.008006991832478015,124.89084801408104,10.0,17.669949633069205,8.870666696813817,31.934400108529744,26.38708711265545
